Restaurant Name ,Cuisine,Distance ,ETD
Café Niloufer,Bakery,5.5,29
Sri Raghavendra Tiffins,South Indian,3.9,21
Ram Ki Bandi,South Indian,5,25
Anu Tiffin Centre,South Indian,7.8,35
Sri ram Dosa Darbar ,South Indian,5.5,28
Minerva Coffee Shop,Beverages,6.9,31
Hotel Suprabat,Kebabs,4,22
Sri Gayatri Tiffins ,South Indian,3.7,20
Swiss Castle ,Bakery,2.5,17
Alpha Hotel ,Biryani,9,38
RRR,Biryani,5.9,33
Shahi Zaikwa ,Biryani,8.3,50
Ashoka Restaurant ,Biryani,9.5,40
Nrs Nandhini,Biryani,4.4,22
Friutoholic,Juices,3.7,28
ThickShake Factory,Juices,6.5,33
CreamStone,Beverages,9.8,36
Pizza Hut,Pizzas,3.5,32
Slay Coffee,Beverages,6.3,45
Natural Fruits ,Juices,3.5,21
Milkshakes Outlet,Beverages,5,32
Bombay Juice,Juices,7.9,38
Faasos,Kebabs,3,24
Barista ,Beverages,6.3,33
FB Cakes,Bakery,4.1,45
Chai Toh Banthi Hai,Beverages,6.9,45
Dostea,Beverages,11.6,56
Subway,Sandwich,3.5,25
KS Bakers,Sandwich,5.8,27
